distance,diff
0,0.14786643664259905
1,0.16903251731883193
2,0.15182939964705305
3,0.16161446939279764
4,0.16733021321358563
5,0.1681103205151831
6,0.16937909295742612
7,0.16677948926193986
8,0.16628979782856204
9,0.17173231576472833
10,0.17173270775051921
11,0.1780238363923281
12,0.17833612022513734
13,0.18154069915954202
14,0.194643955733761
15,0.18649081026187136
16,0.2021962514533095
17,0.20431927045308396
18,0.20807254544649845
19,0.20501139239102736
20,0.20831038219315673
21,0.2143924033261556
22,0.2144352492500413
23,0.2179170049691241
24,0.2200493923146949
25,0.22504220055102472
26,0.2385221058048683
27,0.22970275470913018
28,0.23595882302685103
29,0.23483317366450646
30,0.23852865140171742
31,0.24850498740241905
32,0.24578125482371171
33,0.26443891881667186
34,0.24463517172785393
35,0.2666551890060355
36,0.27573042576901496
37,0.2809658735188728
38,0.2883821473281106
39,0.29533493394763644
40,0.2925919940504069
41,0.3138081342842362
42,0.29765124030853074
43,0.28482386185714303
44,0.303811275469585
45,0.29592853825042664
46,0.295492258807524
47,0.31273171098033736
48,0.3008606189019327
49,0.32011313593063934
50,0.30831916779381735
51,0.30182008107440417
52,0.3092645155071038
53,0.3069964202332313
54,0.29299713791888526
55,0.250827794546513
56,0.24851082196672286
57,0.30217611849094156
58,0.23592899695480618
59,0.2279578785692018
60,0.25927810627886677
61,0.23094696774919157
62,0.19790624024800635
63,0.20486036681903189
64,0.2075507075928483
65,0.16562591529263346
66,0.15076917159002598
67,0.15859551718248907
68,0.11286971656572471
69,0.1265051028926319
70,0.09411104758333011
71,0.08899684884229869
72,0.11427673546623748
73,0.06238159546531262
74,0.01711874814931665
75,0.05952492252634467
